Country,Cases_covid,Deaths_covid,Cases_hn,Deaths_hn,Cases_sars,Deaths_sars
Afghanistan,12.0,0.0,0.0,0.0,0.0,0.0
Algeria,55.0,0.0,19.0,0.0,0.0,0.0
Andorra,5.0,0.0,0.0,0.0,0.0,0.0
Argentina,5.0,0.0,14233.0,175.0,0.0,0.0
Armenia,6.0,0.0,0.0,0.0,0.0,0.0
Australia,787.0,9.0,39497.0,39.0,49.0,0.0
Austria,197.0,0.0,149.0,0.0,0.0,0.0
Azerbaijan,24.0,0.0,0.0,0.0,0.0,0.0
Bahrain,479.0,0.0,139.0,0.0,0.0,0.0
Belarus,23.0,0.0,0.0,0.0,0.0,0.0
Belgium,231.0,0.0,473.0,0.0,5.0,0.0
Bhutan,1.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,4.0,0.0,0.0,0.0,0.0,0.0
Brazil,32.0,0.0,3973.0,3.0,162.0,0.0
Cambodia,40.0,0.0,32.0,0.0,0.0,0.0
Cameroon,1.0,0.0,0.0,0.0,0.0,0.0
Canada,446.0,0.0,81685.0,194.0,14249.0,2015.0
Chile,10.0,0.0,53937.0,76.0,0.0,0.0
Colombia,1.0,0.0,1037.0,19.0,53.0,0.0
Costa Rica,1.0,0.0,2444.0,24.0,0.0,0.0
Croatia,72.0,0.0,1.0,0.0,0.0,0.0
Czech Republic,49.0,0.0,101.0,0.0,0.0,0.0
Denmark,62.0,0.0,422.0,0.0,0.0,0.0
Dominican Republic,7.0,0.0,1385.0,20.0,0.0,0.0
Ecuador,55.0,0.0,1719.0,0.0,0.0,0.0
Egypt,42.0,0.0,488.0,0.0,0.0,0.0
Estonia,22.0,0.0,103.0,0.0,0.0,0.0
Faroe Islands,3.0,0.0,0.0,0.0,0.0,0.0
Finland,88.0,0.0,274.0,0.0,51.0,0.0
France,2336.0,47.0,2417.0,0.0,504.0,1.0
Georgia,24.0,0.0,0.0,0.0,0.0,0.0
Germany,2478.0,0.0,3787.0,0.0,725.0,0.0
Gibraltar,3.0,0.0,0.0,0.0,0.0,0.0
Greece,118.0,0.0,735.0,0.0,0.0,0.0
Hong Kong,2221.0,49.0,0.0,0.0,0.0,0.0
Hungary,6.0,0.0,96.0,0.0,0.0,0.0
Iceland,125.0,0.0,57.0,0.0,0.0,0.0
India,188.0,0.0,686.0,0.0,158.0,0.0
Indonesia,12.0,0.0,46.0,0.0,130.0,0.0
Iran,17614.0,691.0,4.0,0.0,0.0,0.0
Iraq,221.0,7.0,44.0,0.0,0.0,0.0
Ireland,35.0,0.0,390.0,0.0,0.0,0.0
Israel,105.0,0.0,4179.0,0.0,0.0,0.0
Italy,21783.0,719.0,1432.0,0.0,577.0,0.0
Japan,4346.0,64.0,15334.0,0.0,45.0,0.0
Jordan,4.0,0.0,130.0,0.0,0.0,0.0
Kuwait,500.0,0.0,468.0,0.0,75.0,0.0
Latvia,5.0,0.0,6.0,0.0,0.0,0.0
Lebanon,102.0,0.0,286.0,0.0,0.0,0.0
Liechtenstein,3.0,0.0,0.0,0.0,0.0,0.0
Lithuania,8.0,0.0,8.0,0.0,0.0,0.0
Luxembourg,8.0,0.0,37.0,0.0,0.0,0.0
Macau,389.0,0.0,0.0,0.0,0.0,0.0
Mainland China,2150701.0,65032.0,0.0,0.0,0.0,0.0
Malaysia,844.0,0.0,688.0,0.0,420.0,143.0
Mexico,36.0,0.0,142567.0,2271.0,0.0,0.0
Monaco,7.0,0.0,1.0,0.0,0.0,0.0
Morocco,7.0,0.0,94.0,0.0,0.0,0.0
Nepal,42.0,0.0,16.0,0.0,0.0,0.0
Netherlands,308.0,1.0,1171.0,0.0,0.0,0.0
New Zealand,15.0,0.0,4957.0,3.0,56.0,0.0
Nigeria,8.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,12.0,0.0,0.0,0.0,0.0,0.0
Norway,350.0,0.0,330.0,0.0,0.0,0.0
Oman,93.0,0.0,25.0,0.0,0.0,0.0
Others,14300.0,71.0,0.0,0.0,0.0,0.0
Pakistan,39.0,0.0,0.0,0.0,0.0,0.0
Palestine,20.0,0.0,0.0,0.0,0.0,0.0
Peru,1.0,0.0,3856.0,0.0,0.0,0.0
Philippines,102.0,34.0,7269.0,6.0,702.0,127.0
Poland,7.0,0.0,185.0,0.0,10.0,0.0
